date,cap_swe,sey_swe
5/27/2020,55.37865601,53.19001465
5/28/2020,54.39301758,52.15637207
5/29/2020,53.30658569,51.04903259
5/30/2020,51.92722168,49.72482605
5/31/2020,50.61955566,49.93895569
6/1/2020,49.43789673,48.7006134
6/2/2020,48.4894989,47.68490906
6/3/2020,47.74959717,46.8945282
6/4/2020,48.30986023,45.58522644
6/5/2020,47.54416199,44.92958679
6/6/2020,46.609729,44.52339478
6/7/2020,45.44368591,44.07572632
6/8/2020,44.63850708,43.47990112
6/9/2020,43.87757568,42.83806458
6/10/2020,42.6905304,42.09259949
6/11/2020,41.65071411,40.98153381
6/12/2020,40.74347534,40.17993164
6/13/2020,39.97683716,39.40027466
6/14/2020,39.33727417,38.72912598
6/15/2020,37.37398376,36.80701752
6/16/2020,34.6109436,34.08197021
6/17/2020,33.95258179,33.38580933
6/18/2020,33.56837769,32.90484924
6/19/2020,32.86515503,32.10286865
6/20/2020,32.23008118,31.35003357
6/21/2020,31.13765869,30.08919983
6/22/2020,30.17155457,28.98078003
6/23/2020,29.25012817,28.03327026
6/24/2020,28.33562927,26.8197113
6/25/2020,26.91150513,25.38456421
6/26/2020,25.19793243,23.68903809
6/27/2020,23.42493439,21.8708847
6/28/2020,21.13384552,19.8999649
6/29/2020,19.14045868,17.9846405
6/30/2020,17.23047638,16.1596817
7/1/2020,15.32609406,14.36474762
7/2/2020,13.52279968,12.67502441
7/3/2020,12.21858215,11.37938232
7/4/2020,11.40453186,10.9034111
7/5/2020,10.08146439,9.18001709
7/6/2020,9.264931488,8.332170868
7/7/2020,8.402230835,7.453836823
7/8/2020,7.547100067,6.640682983
7/9/2020,7.034243774,6.337268448
7/10/2020,6.29561348,5.708703232
7/11/2020,5.376732635,4.791468048
7/12/2020,4.689738846,4.199765015
7/13/2020,4.254382706,3.897751999
7/14/2020,3.773590088,3.375042343
7/15/2020,3.672773361,3.285706329
7/16/2020,2.36007843,2.700782299
7/17/2020,1.462010312,1.323986149
7/18/2020,1.2211,1.1121
7/19/2020,0.98651,0.76251
7/20/2020,0.65382,0.56122
7/21/2020,0.44378,0.37821
7/22/2020,0.21782,0.150548899
7/23/2020,0.142310929,0
7/24/2020,0,0
7/25/2020,0,0
7/26/2020,0,0
7/27/2020,0,0
7/28/2020,0,0
7/29/2020,0,0
7/30/2020,0,0
7/31/2020,0,0
8/1/2020,0,0
8/2/2020,0,0
8/3/2020,0,0
8/4/2020,0,0
8/5/2020,0,0
8/6/2020,0,0
8/7/2020,0,0
8/8/2020,0,0
8/9/2020,0,0
8/10/2020,0,0
8/11/2020,0,0
8/12/2020,0,0
8/13/2020,0,0
8/14/2020,0,0
8/15/2020,0,0
8/16/2020,0,0
8/17/2020,0,0
8/18/2020,0,0
8/19/2020,0,0
8/20/2020,0,0
8/21/2020,0,0
8/22/2020,0,0
8/23/2020,0,0
8/24/2020,0,0
8/25/2020,0,0
8/26/2020,0,0
8/27/2020,0,0
8/28/2020,0,0
8/29/2020,0,0
8/30/2020,0,0
8/31/2020,0,0
9/1/2020,0,0
9/2/2020,0,0
9/3/2020,0,0
9/4/2020,0,0
9/5/2020,0,0
9/6/2020,0,0
9/7/2020,0,0
9/8/2020,0,0
9/9/2020,0,0
9/10/2020,0,0
9/11/2020,0,0
9/12/2020,0,0
9/13/2020,0,0
9/14/2020,0,0
9/15/2020,0,0
9/16/2020,0,0
9/17/2020,0,0
9/18/2020,0,0
9/19/2020,0,0
9/20/2020,0,0
9/21/2020,0,0
9/22/2020,0,0
9/23/2020,0,0
9/24/2020,0,0
9/25/2020,0,0
9/26/2020,0,0
9/27/2020,0,0
9/28/2020,0,0
9/29/2020,0,0
9/30/2020,0,0
10/1/2020,0,0
10/2/2020,0,0
10/3/2020,0,0
10/4/2020,0,0
10/5/2020,0,0.133008969
10/6/2020,0,0.203259969
10/7/2020,0,0.259271741
10/8/2020,0,0.327416205
10/9/2020,0,0.399071407
10/10/2020,0,0.341201806
10/11/2020,0,0
10/12/2020,0,0
10/13/2020,0.740306187,0.715727043
10/14/2020,1.152989769,1.130833244
10/15/2020,1.052877569,1.505554199
10/16/2020,1.35391922,1.32765255
10/17/2020,1.345390701,1.331967163
10/18/2020,1.291841316,1.29029026
10/19/2020,1.277630043,1.286720276
10/20/2020,1.220491982,1.24106741
10/21/2020,1.132246304,1.159597874
10/22/2020,1.082117271,1.101966763
10/23/2020,1.023637867,1.031149483
10/24/2020,1.216704845,1.258639622
10/25/2020,1.393350506,1.44770155
10/26/2020,1.37760725,1.432018661
10/27/2020,1.403812027,1.458988857
10/28/2020,1.40949688,1.130782318
10/29/2020,1.271514702,1.329835701
10/30/2020,0.974923134,1.004663563
10/31/2020,0.816088295,0.823371983
11/1/2020,0.783651495,0.792045975
11/2/2020,0.755436325,0.764059734
11/3/2020,0.700392246,0.707668638
11/4/2020,0.665071106,0.67280612
11/5/2020,0.582538176,0.576041126
11/6/2020,0.459109068,0.43516593
11/7/2020,0.420089197,0.398751426
11/8/2020,0.23479054,0.214287949
11/9/2020,0.311245251,0.31264894
11/10/2020,0.317783785,0.287197065
11/11/2020,0.306036043,0.310041046
11/12/2020,0.431339979,0.432868862
11/13/2020,0.516662884,0.522859001
11/14/2020,1.329469872,1.413588524
11/15/2020,3.32836113,3.554345703
11/16/2020,4.456181526,4.728451347
11/17/2020,7.217285156,7.639631653
11/18/2020,8.274539948,8.834088898
11/19/2020,9.492576599,10.20194244
11/20/2020,10.23522034,10.97458649
11/21/2020,11.14743958,11.95692444
11/22/2020,11.59723053,12.45842438
11/23/2020,11.62565384,12.44535599
11/24/2020,11.95860214,12.73890839
11/25/2020,13.09230499,13.89155121
11/26/2020,14.35956726,15.21618347
11/27/2020,14.99705811,15.89692383
11/28/2020,15.51197815,16.47622223
11/29/2020,16.30790253,17.34138794
11/30/2020,16.78637085,17.88480682
12/1/2020,17.42960358,18.57336273
12/2/2020,18.16973419,19.32242737
12/3/2020,18.38463593,19.51321869
12/4/2020,18.46516876,19.51500244
12/5/2020,18.46117096,19.44116364
12/6/2020,18.51389313,19.45891876
12/7/2020,18.18545227,19.04420166
12/8/2020,18.10630035,18.86180115
12/9/2020,18.16985321,18.87828064
12/10/2020,18.34949951,19.0104599
12/11/2020,18.15670319,18.78498688
12/12/2020,19.1155899,19.73042755
12/13/2020,19.95118256,20.61057739
12/14/2020,20.85207062,21.58673096
12/15/2020,21.59586487,22.41417236
12/16/2020,22.57263336,23.54776611
12/17/2020,23.99529877,25.15542603
